name,address,cuisine,region,lat,lng
Ming Tak Hong Kong Style Restaurant,8363 Granville Street,Chinese,Marpole,49.2108334,-123.1407047
A&W,468 S.W. Marine Drive,Fast Food,Marpole,49.209364,-123.116783
Mirchi Restaurant,7964 Granville Street,Indian,Marpole,49.2135408,-123.1401398
The Place Restaurant,8028 Granville Street,Chinese,Marpole,49.2128045,-123.1401193
Wicks Café,1300 W 73rd Ave,Café,Marpole,49.2040721,-123.1349289
Applause Japanese Restaurant,8269 Oak St,Japanese,Marpole,49.2109319,-123.1305183
Subway,8347 Granville St,Sandwiches,Marpole,49.211083,-123.1406811
White Spot,1041 SW Marine Dr,Burgers,Marpole,49.2048294,-123.130886
Sushi Wow,8273 Granville,Japanese,Marpole,49.2116562,-123.1407218
Donair Spot,8616 Granville St,Falafel,Marpole,49.2082537,-123.1401242
Tai Tung Chinese Seafood Restaurant,8012 Granville St.,Chinese,Marpole,49.21290219999999,-123.1400916
Pizza Hut,8155 Granville Street,Pizza,Marpole,49.2121552,-123.1409273
Subway,"644 SW Marine Dr, Unit 101",Sandwiches,Marpole,49.2085891,-123.1197921
Thai Son,1450 SW Marine Dr.,Vietnamese,Marpole,49.2042456,-123.1395324
Ikura Japanese Restaurant,8646 Granville St.,Japanese,Marpole,49.2079003,-123.1403017
Sushi King House,8176 Granville St.,Japanese,Marpole,49.2116627,-123.1401882
Parm'z Pizza Factory,8319 Oak St.,Pizza,Marpole,49.2105495,-123.1304717
Dublin Crossing Irish Pub,466 SW Marine Drive,Irish,Marpole,49.2100079,-123.1157887
Cafe Mai-Mai,8636 Granville St,Vietnamese,Marpole,49.2080893,-123.1400808
Denny's,622 SW Marine Dr,Breakfast,Marpole,49.20879069999999,-123.1193511
Subway,474 South West Marine Drive,Sandwiches,Marpole,49.20986019999999,-123.1165335
Pink Elephant Thai,434 South West Marine Drive,Thai,Marpole,49.2101841,-123.1161936
Wang's Beef Noodle House,8390 Granville Street,Noodles,Marpole,49.21020559999999,-123.1400582
FreshSlice Pizza,498 SW Marine Drice,Pizza,Marpole,49.2099567,-123.1168429
Neptune Palace (Neptune Palace Seafood Restaurant),308 - 470 SW Marine Drive,Chinese,Marpole,49.21004800000001,-123.116603
Freshslice Pizza,8618 Granville St,Pizza,Marpole,49.2082081,-123.1401279
Oriole Cafe,1200 west 73rd avenue,Café,Marpole,49.2041247,-123.1332583
Gold Train Express,8178 Granville st,Vietnamese,Marpole,49.2117182,-123.1399784
Papa's Eatery,8091 Granville St.,Sandwiches,Marpole,49.212435,-123.1405946
Panago Pizza,8333 Granville St,Pizza,Marpole,49.2111805,-123.1408436
Sakuranbo,8051 Granville St,Japanese,Marpole,49.2126887,-123.1405975
The Meat Up,7994 Granville St,Chinese,Marpole,49.2132843,-123.1400589
South West Seafood Restaurant,8012 Granville St,Chinese,Marpole,49.21290219999999,-123.1400916
Golden Pair Vietnamese Asian Cuisine,8167 Granville Street,Vietnamese,Marpole,49.211983,-123.140896
Bubbletopia,7974 Granville Street,Café,Marpole,49.2134317,-123.1401162
Sushi Hoon,7974 Granville St.,Japanese,Marpole,49.2134317,-123.1401162
East is East,4433 Main St,Middle Eastern,Riley Park,49.2453531,-123.1014848
Pho Tan,4589 Main St,Vietnamese,Riley Park,49.243205,-123.1016815
Sawasdee Thai Restaurant,4250 Main St,Thai,Riley Park,49.2470563,-123.1008276
Meet on Main,4288 Main St.,Vegetarian,Riley Park,49.246713,-123.1008309
Trilussa Pizza & Pane,4363 Main St.,Pizza,Riley Park,49.2464617,-123.1014422
Trafiq Café & Bakery,4216 Main St,Café,Riley Park,49.2473463,-123.1007201
Hawker's Delight,4127 Main St,Malay,Riley Park,49.2483626,-123.101467
Matchstick Coffee Roasters,4807 Main St,Café,Riley Park,49.2417993,-123.1018127
The Acorn,3995 Main St,Vegetarian,Riley Park,49.2495953,-123.1013533
Long's Noodle House 小龍記麵家,4853 Main St,Chinese,Riley Park,49.2412498,-123.1016585
Au Petit Cafe,4851 Main Street,Vietnamese,Riley Park,49.241269,-123.1016808
Seasons in the Park,West 33rd Avenue,Seafood,Arbutus-Ridge,49.2421528,-123.1566311
Pho Bon Vietnamese Restaurant,4909 Main St,Vietnamese,Riley Park,49.2403618,-123.1017427
Liberty Bakery + Cafe,3699 Main St,Bakery,Riley Park,49.25191599999999,-123.1012221
Zakkushi Charcoal Grill,4075 Main St.,Japanese,Riley Park,49.2490989,-123.1015353
The Fish Counter,3825 Main St,Seafood,Riley Park,49.2507804,-123.1012704
Sushi Mania,3851 Main St,Japanese,Riley Park,49.2506311,-123.1013081
Locus,4121 Main St,Breakfast,Riley Park,49.24849709999999,-123.1014653
Chickpea,4298 Main St,Falafel,Riley Park,49.2465536,-123.1010436
The Arbor,3941 Main Street,Gastropub,Riley Park,49.24995089999999,-123.101352
Bâtard Boulangerie & Cafe Moderne,3958 Fraser St,Café,Kensington-Cedar Cottage,49.2495562,-123.0898771
Anh and Chi,3388 Main St,Vietnamese,Riley Park,49.2549852,-123.1008596
Coco et Olive,3707 Main St,Café,Riley Park,49.2516796,-123.1011941
Pizza Carano,4241 Fraser St,Pizza,Riley Park,49.24724699999999,-123.0904024
Solly’s Bagelry,4071 Main St,Bagels,Riley Park,49.2491206,-123.1014603
Slickity Jim’s,3475 Main St,Breakfast,Riley Park,49.2540235,-123.1010613
Toshi Sushi,181 E 16th Ave.,Japanese,Mount Pleasant,49.25671029999999,-123.1019284
The General Public,3289 Main St,Japanese,Riley Park,49.2558553,-123.1015339
Egg And Company,4245 Fraser Street,Breakfast,Riley Park,49.24715699999999,-123.0904601
El Camino's,3250 Main St.,Latin American,Riley Park,49.25617039999999,-123.1010147
Dream Sushi Japanese Restaurant,4401 Main St.,Japanese,Riley Park,49.2458467,-123.1014995
The Reef,4172 Main St.,Caribbean,Riley Park,49.2479632,-123.1007692
Helen's Grill,4102 Main St,Diner,Riley Park,49.2486433,-123.1007253
Yugo Restaurant,4265 Main St,Japanese,Riley Park,49.2475265,-123.1014138
Landmark Hot Pot House 春秋火鍋,4023 Cambie St.,Chinese,South Cambie,49.2498405,-123.1155811
Don’t Argue Pizzeria,3240 Main St,Pizza,Riley Park,49.2563171,-123.1008879
Boiling Point,4148 Main Street,Hotpot,Riley Park,49.2482504,-123.1008849
Sun Sui Wah,3888 Main St,Chinese,Riley Park,49.2504277,-123.1006395
King's Chinese Cuisine,4488 Main St,Chinese,Riley Park,49.2446116,-123.1009743
Pho Quyen Restaurant,3916 Fraser St,Vietnamese,Kensington-Cedar Cottage,49.2498702,-123.0896868
Ogenki Sushi,4342 Main St.,Japanese,Riley Park,49.2462607,-123.1009543
Van. Tea Cafe 伯茶餐廳,5688 Main Street,Chinese,Riley Park,49.2332905,-123.1010171
Nammos Estiatorio,3980 Fraser St,Greek,Kensington-Cedar Cottage,49.2494546,-123.0898053
Corner 23,4008 Cambie St.,Chinese,Riley Park,49.2499562,-123.1150368
The French Table,3916 Main Street,French,Riley Park,49.2500363,-123.1008354
Splitz Grill,4242 Main St,Burgers,Riley Park,49.2470985,-123.1007657
Caffé Artigiano,4010 Main St,Café,Riley Park,49.2491774,-123.100842
Bob Likes Thai Food,3755 Main Street,Thai,Riley Park,49.2513423,-123.101333
Simply Delicious Eatery & Lounge,4316 Main St,Japanese,Riley Park,49.2464954,-123.1010225
Subway,4108 Fraser Street,Sandwiches,Kensington-Cedar Cottage,49.2484391,-123.0898488
Haiyi Seafood Restaurant,4818 Main Street,Cantonese,Riley Park,49.2420726,-123.1012135
Autostrada Osteria,4811 Main St,Italian,Riley Park,49.2417397,-123.1016277
Sushi Hub,4855 Main Street,Japanese,Riley Park,49.2411806,-123.1016703
Happy Pho,4136 Main St,Vietnamese,Riley Park,49.24832550000001,-123.1008158
Cambie Vietnam Restaurant,4136 Main Street,Vietnamese,Riley Park,49.24832550000001,-123.1008158
Quejos Cheesebuns,4129 Main St,Bakery,Riley Park,49.248382,-123.1013152
Church's Chicken,3449 Main St,Fried Chicken,Riley Park,49.254167,-123.1012977
Pizza Hut,3425 Main Street,Pizza,Riley Park,49.2544611,-123.1012989
Masayoshi,4376 Fraser St,Japanese,Kensington-Cedar Cottage,49.24579869999999,-123.0900391
Float On Bakeshop & Cafe,4384 Fraser St,Bakery,Kensington-Cedar Cottage,49.2457271,-123.0898687
Nooru Mahal,4354 Fraser Street,Indian,Kensington-Cedar Cottage,49.2460302,-123.08996
European Breads Bakery,4324 Fraser St.,Bakery,Kensington-Cedar Cottage,49.2463266,-123.0900346
Aling Ening,4253 fraser street,Filipino,Riley Park,49.247027,-123.0905809
Pho Cilantro,4197 Fraser St,Vietnamese,Riley Park,49.24777049999999,-123.090485
Grand View Szechuan Restaurant Ltd,4181 Fraser St,Chinese,Riley Park,49.2478619,-123.0903444
Bee Kim Heng,4194 Fraser St,Chinese,Kensington-Cedar Cottage,49.2477076,-123.0898537
Penang Bistro,3960 Fraser St,Malay,Kensington-Cedar Cottage,49.2495413,-123.0899132
Panz Veggie,3485 Fraser Street,Vegetarian,Riley Park,49.25395470000001,-123.0901929
Nikkyu Japanese Restaurant,3302 Main Street,Japanese,Riley Park,49.255567,-123.101019
Truffles Fine Foods,5151 Oak St,Sandwiches,Shaughnessy,49.2391439,-123.1318942
Goma Sushi,3720 Oak St.,Japanese,South Cambie,49.2524673,-123.1272818
Grand Honour Restaurant,5668 Granville St.,Asian,Shaughnessy,49.2347517,-123.1393101
The Best Neighbours Restaurant,3838 Oak St.,Greek,South Cambie,49.2514254,-123.127207
Osaka Sushi,960 West King Edward Ave.,Japanese,South Cambie,49.2485394,-123.1255618
Subway,3890 Oak St,Sandwiches,South Cambie,49.25094379999999,-123.1270301
City1Cafe,954 West King Edward Ave.,Malay,South Cambie,49.2483912,-123.1254967
Kim Express,952 W King Edward Ave,Vietnamese,South Cambie,49.2485223,-123.1254486
Mandarin Hong Kong Cafe 文華餐廳,904 W King Edward Ave.,Cantonese,South Cambie,49.248413,-123.1251604
BC Women's Cafeteria,4500 Oak St,Cafeteria,South Cambie,49.2443788,-123.1241862
Morrison / Shy Café,4500 Oak Street,Café,South Cambie,49.2443788,-123.1241862
Xi Yan Restaurant 囍宴私房苹,#110-5701 Granville St.,Chinese,Kerrisdale,49.2339553,-123.1399271
Phnom Penh,244 E Georgia St,Asian,Strathcona,49.2783154,-123.0981947
Matchstick Coffee Roasters,213 E Georgia St,Café,Strathcona,49.2787121,-123.0992481
Railtown Cafe,397 Railway St,Café,Strathcona,49.2850495,-123.0954183
The Union,219 Union St,Gastropub,Strathcona,49.2777797,-123.0989601
Bao Bei,163 Keefer St,Chinese,Downtown,49.2796534,-123.1006157
Pizzeria Farina,915 Main St,Pizza,Downtown,49.2765892,-123.1000905
Oyster Express,296 Keefer Street,Seafood,Strathcona,49.2793021,-123.0973781
Kissa Tanto,263 East Pender St,Japanese,Strathcona,49.2806451,-123.0981172
Ask for Luigi,305 Alexander St,Italian,Strathcona,49.2842,-123.0977177
Finch’s Market,501 E Georgia St,Sandwiches,Strathcona,49.2787186,-123.0932563
Virtuous Pie,583 Main St,Pizza,Downtown,49.279734,-123.0999725
Cuchillo,261 Powell St,Latin American,Strathcona,49.2834276,-123.0981059
Pacific~Poke,625 Main Street,Poke Place,Downtown,49.2790547,-123.1000169
Bestie,105 E Pender St,German,Downtown,49.2804289,-123.1020179
Cadeaux Bakery,172 Powell St,Bakery,Downtown,49.2830853,-123.100481
LanaLou’s,362 Powell St,Diner,Strathcona,49.28302739999999,-123.0962677
DALINA,687 Main St,Café,Downtown,49.27876269999999,-123.1003603
Torafuku,958 Main Street,Asian,Strathcona,49.2758842,-123.09968
New Town Bakery & Restaurant,148 E Pender St,Chinese,Downtown,49.2803095,-123.1011943
Birds & The Beets,55 Powell St,Café,Downtown,49.2834553,-123.1028539
Dosanko,566 Powell St,Japanese,Strathcona,49.2828319,-123.0919338
Deacon's Corner,101 Main St,Diner,Downtown,49.2839947,-123.099882
Rhinofish,550 Main St,Noodles,Strathcona,49.279636,-123.0994299
Sardine Can,26 Powell,Tapas,Downtown,49.2830875,-123.1035221
Nicli Antica Pizzeria,62 E Cordova St,Pizza,Downtown,49.28217919999999,-123.1028313
Chinatown BBQ,130 E Pender St,Chinese,Downtown,49.28016,-123.1015139
Nelson the Seagull,315 Carrall St,Breakfast,Downtown,49.2821489,-123.1044755
La Mezcaleria (Gastown),68 E Cordova St,Mexican,Downtown,49.2821404,-123.1028426
Dixies BBQ,337 East Hastings Street,BBQ,Strathcona,49.2815544,-123.0966219
Mamie Taylor's,251 E Georgia St,American,Strathcona,49.2786841,-123.0980207
L’Abattoir,217 Carrall St,French,Downtown,49.2831234,-123.1044431
BAUHAUS,1 Cordova,German,Downtown,49.2826974,-123.1046195
Dunlevy Snackbar,433 Dunlevy Ave,Asian,Strathcona,49.28091999999999,-123.095595
HAVE Cafe,374 Powell St,Café,Strathcona,49.2830108,-123.0960445
Pidgin,350 Carrall St,Asian,Downtown,49.28188100000001,-123.104145
Calabash Bistro,428 Carrall St.,Caribbean,Downtown,49.28103369999999,-123.1041914
St Lawrence Restaurant,269 Powell St,French,Strathcona,49.2833058,-123.0979713
Rodney's,52 Powell St.,Seafood,Downtown,49.28304989999999,-123.1030463
Juke,180 Keefer Street,Fried Chicken,Downtown,49.2791047,-123.1007624
Gringo,27 Blood Alley Sq,Mexican,Downtown,49.2833607,-123.1053151
Lost + Found,33 W Hastings St,Café,Downtown,49.28186179999999,-123.1057791
Odo Sushi,82 Keefer Place,Japanese,Downtown,49.27941120000001,-123.1070016
The Old Spaghetti Factory,53 Water Street,Italian,Downtown,49.2837374,-123.1052117
Peckinpah BBQ,2 Water St,BBQ,Downtown,49.28333569999999,-123.1046377
Tuc Craft Kitchen,60 W Cordova St,Gastropub,Downtown,49.2826445,-123.1060592
The Brixton,212 E Georgia St,Café,Strathcona,49.278422,-123.0991391
Local Gastown,3 Alexander St,New American,Downtown,49.2836149,-123.1040021
Say Hey Cafe,156 E Pender St,Sandwiches,Downtown,49.2801715,-123.1010566
Campagnolo,1020 Main St,Italian,Strathcona,49.2754049,-123.0997124
HiFive,22 East Cordova,Sandwiches,Downtown,49.2822651,-123.1036529
Hanoi Pho,404 E Hastings St,Vietnamese,Strathcona,49.2810808,-123.0952401
Moltaqa,51 W Hastings,Moroccan,Downtown,49.28200229999999,-123.1064116
Ba Le,638 Main St.,Sandwiches,Strathcona,49.2787738,-123.0995718
Six Acres,203 Carrall St,Gastropub,Downtown,49.283339,-123.1044456
Goldstone Bakery & Restaurant,139 Keefer St.,Chinese,Downtown,49.2797519,-123.1009488
Save On Meats,43 Hastings St W,Diner,Downtown,49.2820917,-123.1059682
Coquille,181 Carall Street,Seafood,Downtown,49.28378619999999,-123.1044645
Save On Meats Pop Up,1 W Cordova St,Diner,Downtown,49.2826974,-123.1046195
Golden Garden Vietnamese Cuisine,509 Main St,Vietnamese,Downtown,49.2801171,-123.1001592
The Ramen Butcher,223 E Georgia St,Noodles,Strathcona,49.2786667,-123.0987197
Hogan's Alley Cafe,789 Gore Ave,Café,Strathcona,49.2777421,-123.0971616
Kobob Burger,1019 Main St,Korean,Downtown,49.2754652,-123.1001595
The Irish Heather,212 Carrall St,Irish,Downtown,49.28284009999999,-123.1041375
Congee Noodle Delight,88 W Pender St,Chinese,Downtown,49.2804064,-123.1069714
Gain Wah Restaurant,218 Keefer Street,Chinese,Strathcona,49.2793717,-123.0989354
Hakone Sushi,82 Keefer St.,Japanese,Downtown,49.2792432,-123.1044569
Prado Cafe,117 Water St,Café,Downtown,49.2841362,-123.1069093
Bali Thai,88 w. Pender st,Indonesian,Downtown,49.2804064,-123.1069714
Dubh Linn Gate Irish Pub,1601 Main St,Irish,Mount Pleasant,49.2714055,-123.1008655
Subway,846 Powell Street,Sandwiches,Strathcona,49.28265469999999,-123.0858096
Railtown Cafe,1691 Main St,Café,Mount Pleasant,49.2703869,-123.1013086
Bodega on Main,1014 Main St,Tapas,Strathcona,49.275431,-123.0993791
Tina Vietnamese,88 W Pender,Vietnamese,Downtown,49.2804064,-123.1069714
Take Five Cafe Gastown,62 W Cordova St.,Café,Downtown,49.2826806,-123.1061775
A&W,1150 Station Street,Fast Food,Strathcona,49.2737759,-123.097836
Greenhorn Cafe,994 Nicola St,Café,West End,49.2866291,-123.1340403
Cardero Bottega,1016 Cardero St.,Sandwiches,West End,49.28701539999999,-123.1357669
COBS Bread,140-1160 Davie St.,Bakery,West End,49.28120639999999,-123.1327779
Banana Leaf On Denman,1096 Denman St.,Asian,West End,49.2882994,-123.1400574
Ramen Danbo,1333 Robson Street,Japanese,West End,49.28749579999999,-123.1289339
Miko Sushi,1335 Robson St,Japanese,West End,49.2875451,-123.1289933
Cactus Club Cafe,1790 Beach Ave,New American,West End,49.2867391,-123.142725
España Restaurant,1118 Denman St.,Spanish,West End,49.2880552,-123.1404114
Peaked Pies,975 Denman St,Comfort Food,West End,49.2896992,-123.1384286
Guu with Garlic,1698 Robson St,Japanese,West End,49.2902019,-123.133953
Kingyo Izakaya 金魚居酒屋,871 Denman St,Japanese,West End,49.2906302,-123.1370603
Sura,1518 Robson St,Korean,West End,49.2888077,-123.131828
Hokkaido Ramen Santouka,1690 Robson St,Japanese,West End,49.2901852,-123.1339645
Baoguette Vietnamese Bistro,104 - 1184 Denman St,Vietnamese,West End,49.2872573,-123.1412277
Donair Dude,1172 Davie St.,Falafel,West End,49.2813704,-123.1329526
Takis Taverna,1106 Davie St,Greek,West End,49.2805364,-123.1316731
Tavola,1829 Robson St,Italian,West End,49.2919048,-123.1356847
Won More Szechuan Cuisine,201 - 1184 Denman St.,Szechuan,West End,49.2918741,-123.1346369
Marutama Ra-men,780 Bidwell St,Japanese,West End,49.2905691,-123.1333952
Horin Ramen + Sake,1226 Robson St,Japanese,West End,49.2861973,-123.1275046
Stepho's Souvlaki Greek Taverna,1124 Davie St.,Greek,West End,49.2806316,-123.1321013
Stepho's Souvlaki Greek Taverna,1359 Robson St,Greek,West End,49.287752,-123.129254
Legendary Noodle,1074 Denman St,Noodles,West End,49.2884818,-123.1397769
Ma Dang Goul,847 Denman St.,Korean,West End,49.2909695,-123.1364999
Davie Dosa Company,1235 Davie St,South Indian,West End,49.282163,-123.133735
Buckstop,833 Denman,BBQ,West End,49.2910804,-123.1364574
Babylon Cafe,105-1610 Robson St,Middle Eastern,West End,49.2895386,-123.132799
Baguette & Co,1102 Davie St.,Bakery,West End,49.280445,-123.1315288
Kosoo Restaurant,832 Cardero Street,Korean,West End,49.2890947,-123.1326326
Joe's Grill,1031 Davie St.,Diner,West End,49.2797502,-123.1299447
Dinesty Chinese Restaurant,1719 Robson St.,Shanghai,West End,49.2907799,-123.1340727
Saku,1773 Robson street,Japanese,West End,49.2913126,-123.1348901
Sushi Bar Maumi,1226 Bute St,Japanese,West End,49.2813645,-123.1336464
Chez Cora - Breakfast and Lunch,1368 Robson Street,Breakfast,West End,49.2875008,-123.1297495
Cazba restaurant,1103 Davie St,Middle Eastern,West End,49.28067799999999,-123.1311
Earls,1185 Robson St,American,West End,49.2859397,-123.1263654
Joe's Grill,948 Denman St,Breakfast,West End,49.289889,-123.1376668
Pho Goodness,1183 Davie St,Vietnamese,West End,49.2816951,-123.1327991
Zefferelli's Spaghetti Joint,1136 Robson St,Italian,West End,49.28502719999999,-123.126053
Molli Cafe,1225 Burrard St.,Mexican,West End,49.2787827,-123.1299875
Melriches Coffee House,1244 Davie St,Café,West End,49.2822726,-123.1343617
Sushi Sky,1226 Bute St.,Japanese,West End,49.2813645,-123.1336464
Tartine Bread & Pies,1069 Davie St,Bakery,West End,49.28023959999999,-123.1307065
Number e food,1308 Burrard St,Sandwiches,Downtown,49.2777097,-123.1309215
Banana Leaf,1043 Davie Street,Malay,West End,49.2799227,-123.1302489
Cardero's Restaurant,1583 Coal Harbour Quay,Seafood,Downtown,49.2916101,-123.1274816
Nook,781 Denman Street,Italian,West End,49.29173650000001,-123.1353449
Simba's Grill,825 Denman St.,African,West End,49.29117369999999,-123.1363059
Japadog,899 Burrard St.,Food Truck,West End,49.2822782,-123.1247563
A Taste of India,1282 Robson Street,Indian,West End,49.2866919,-123.1283441
Breka Bakery & Cafe,855 Davie St,Bakery,Downtown,49.2784376,-123.1278992
Le Tigre,Alberni Street,Food Truck,West End,49.28926509999999,-123.1298563
Samurai Japanese Restaurant,1108 Davie St,Japanese,West End,49.2805439,-123.1317481
Red Umbrella Cafe,1707 Davie Street,Café,West End,49.286402,-123.1403028
Ginger Garlic,Davie,Indian,West End,49.2803931,-123.1311967
Yogi Korean Snack Bar,1706 Robson St.,Snacks,West End,49.2904875,-123.1342473
Belachan Kitchen,1128 Robson St,Malay,West End,49.2850028,-123.1258737
Guu Garden,M101 - 888 Nelson St,Japanese,Downtown,49.2800364,-123.1252786
Vij's Railway Express,1075 W Georgia St,Food Truck,Downtown,49.28577860000001,-123.1221398
Los Amigos Taqueria,1118 Davie St.,Mexican,West End,49.2805803,-123.1319161
Zakkushi Charcoal Grill,823 Denman St,Japanese,West End,49.2912037,-123.1362474
Yui Japanese Bistro,102-1185 W Georgia St,Japanese,Downtown,49.287177,-123.124666
Tetsu Sushi Bar,775 Denman street,Japanese,West End,49.2918295,-123.1352117
PINK Elephant THAI,1152 Alberni,Thai,West End,49.2859529,-123.1252287
Sushi Coen,1306 Burrard St.,Japanese,Downtown,49.2777307,-123.1308646
Thai Basil Restaurant,1215 Thurlow Street,Thai,West End,49.28029730000001,-123.1315906
Mary’s On Davie,1202 Davie Street,Diner,West End,49.2817883,-123.1335975
Patterson Chinese Restaurant,917 Davie Street,Chinese,Downtown,49.2787832,-123.1282499
Gurkha Himalayan Kitchen,1141 Davie St,Himalayan,West End,49.2811653,-123.1320997
Ukrainian Village,815 Denman St,Eastern European,West End,49.2914077,-123.1358246
Falafel King,1110 Denman St.,Falafel,West End,49.288146,-123.140288
Nando's,828 Davie St.,Portuguese,Downtown,49.2778637,-123.1276568
Vera's Burger Shack,1030 Davie Street,Burgers,West End,49.2794934,-123.13008
Cafe Phin,976 Denman St,Vietnamese,West End,49.28954969999999,-123.1380672
Sun Bo Kong,1363 Kingsway,Vegetarian,Kensington-Cedar Cottage,49.250878,-123.0769121
House of Dosas,1391 Kingsway,Indian,Kensington-Cedar Cottage,49.250466,-123.0763303
Commercial Street Cafe,3599 Commercial St,Café,Kensington-Cedar Cottage,49.2526241,-123.0682933
Pink Peppercorn Seafood House,1486 Kingsway St,Seafood,Kensington-Cedar Cottage,49.2489809,-123.0739238
Green Lettuce Restaurant,1949 Kingsway,Chinese,Kensington-Cedar Cottage,49.2457947,-123.0659378
Tung Hing Bakery,1196 Kingsway,Vietnamese,Kensington-Cedar Cottage,49.25196330000001,-123.0801494
My Chau,1715 kingsway,Vietnamese,Kensington-Cedar Cottage,49.2472777,-123.0693067
Po Kong,1334 Kingsway,Vegetarian,Kensington-Cedar Cottage,49.2505555,-123.0773747
Chau Veggie Express,5052 Victoria Dr,Vegetarian,Kensington-Cedar Cottage,49.2385526,-123.0651974
Amay’s House,5076 Victoria Dr,Asian,Kensington-Cedar Cottage,49.23833800000001,-123.0650596
Pho Thai Hang,1962 Kingsway,Vietnamese,Kensington-Cedar Cottage,49.2452153,-123.0657358
The Tipper,2066 Kingsway,American,Kensington-Cedar Cottage,49.2444802,-123.0644541
Hai Phong,1246 Kingsway,Vietnamese,Kensington-Cedar Cottage,49.2511628,-123.0790452
White Spot,1476 Kingsway,Burgers,Kensington-Cedar Cottage,49.2489856,-123.0742081
Sushi By Yuji,2252 Kingsway,Japanese,Kensington-Cedar Cottage,49.2424827,-123.0598354
Hoang Yen,5338 Victoria Dr.,Vietnamese,Kensington-Cedar Cottage,49.2364522,-123.0652317
Aree Thai,1150 Kingsway,Thai,Kensington-Cedar Cottage,49.2524171,-123.0810365
Banh Mi Saigon,5397 Victoria Drive,Vietnamese,Kensington-Cedar Cottage,49.235361,-123.0657601
Bandidas Taqueria,2781 Commercial Dr,Vegetarian,Kensington-Cedar Cottage,49.259773,-123.0700275
Mogu: Japanese Street Eats,Howe Street,Food Truck,Downtown,49.2807469,-123.1227452
Adelitas Mexican Food,4180 Victoria Dr,Mexican,Kensington-Cedar Cottage,49.2478543,-123.0647838
Pho Thái Hòa,1625 Kingsway,Vietnamese,Kensington-Cedar Cottage,49.2481213,-123.071125
Sal y Limón,701 Kingsway,Mexican,Mount Pleasant,49.2567896,-123.089226
BKH Jerky,3201 Fraser St.,BBQ,Riley Park,49.2562552,-123.0902646
Hoi An,5002 Victoria Dr,Vietnamese,Kensington-Cedar Cottage,49.2388048,-123.0651262
Ba Le French Sandwiches (Banh Mi),701 Kingsway Ave.,Vietnamese,Mount Pleasant,49.2567896,-123.089226
Bakery Sate,2879 Commercial Drive,Bakery,Kensington-Cedar Cottage,49.2589765,-123.0700724
Hapag Ihaw Ihaw,5432 Victoria Dr,Filipino,Kensington-Cedar Cottage,49.2355374,-123.0652908
El Caracol Mexican Cafe,5190 victoria drive,Mexican,Kensington-Cedar Cottage,49.2375504,-123.065129
Green Lemongrass,1086 Kingsway,Vietnamese,Kensington-Cedar Cottage,49.2529471,-123.0822846
Kings Cafe,2223 Kingsway,Café,Kensington-Cedar Cottage,49.2430909,-123.0603443
Duffin's Donuts,1391 E 41st Ave.,Donuts,Kensington-Cedar Cottage,49.2329912,-123.0776955
Golden Eats Seafood Restaurant,2141 Kingsway,Cantonese,Kensington-Cedar Cottage,49.244215,-123.062803
Church's Chicken,2504 Kingsway,Fried Chicken,Renfrew-Collingwood,49.2399881,-123.0547464
De Dutch Pannekoek House,4003 Knight Street,Breakfast,Kensington-Cedar Cottage,49.2488652,-123.0766036
Western Lake Chinese Restaurant,4989 Victoria Drive,Chinese,Kensington-Cedar Cottage,49.239343,-123.0655693
Seoul Doogbaegi House,1031 Kingsway,Korean,Kensington-Cedar Cottage,49.2537375,-123.0830987
Szechuan Chongqing Restaurant,2808 Commercial Drive,Chinese,Kensington-Cedar Cottage,49.2593024,-123.0695171
Kalvin's Szechuan Restaurant,5225 Victoria Dr,Chinese,Kensington-Cedar Cottage,49.2372789,-123.0656188
Cedar Cottage Pub,1261 Kingsway,American,Kensington-Cedar Cottage,49.2516836,-123.0786553
Vegan Pizza House,2119 Kingsway,Pizza,Kensington-Cedar Cottage,49.2443956,-123.0631994
Truong Thanh,2096 kingsway,Vietnamese,Kensington-Cedar Cottage,49.24435980000001,-123.0641388
Subway,1773 Kingsway,Sandwiches,Kensington-Cedar Cottage,49.246797,-123.0682872
SweetSalt Baked Goods & Playscapes,3497 Fraser Street,Bakery,Riley Park,49.25385,-123.0902492
Veggiebowl,2222 Kingsway,Vegetarian,Kensington-Cedar Cottage,49.2428328,-123.0605746
Banner's Restaurant,1680 E. 12th Ave,Diner,Kensington-Cedar Cottage,49.2592806,-123.0702968
Sandy La Chinese Restaurant,5257 Victoria Dr.,Chinese,Kensington-Cedar Cottage,49.2370473,-123.0656135
Deutsches Haus,4875 Victoria Drive,German,Kensington-Cedar Cottage,49.24050039999999,-123.0656204
Dai Tung 大同,#108 - 1050 Kingsway,Chinese,Kensington-Cedar Cottage,49.2531346,-123.0830035
Lam Hoa Quan,5073 Victoria Drive,Vietnamese,Kensington-Cedar Cottage,49.2386698,-123.0655885
BT Cafe,920 Kingsway,Chinese,Kensington-Cedar Cottage,49.2542716,-123.0851632
Happy Family Restaurant,2178 Kingsway,Chinese,Kensington-Cedar Cottage,49.2435351,-123.0624268
Mui Ngo Gai,2052 Kingsway,Vietnamese,Kensington-Cedar Cottage,49.2445738,-123.0645772
Hoy's Won Ton House,1202 Kingsway,Chinese,Kensington-Cedar Cottage,49.2516103,-123.0796002
